 ,Area,Mean,Min,Max,Angle,Length,Angle Normalized
586,0.99,210.821,160.476,242.843,-16.26,13.132,163.74
587,0.973,208.17,154.292,241.681,-20.751,12.927,159.249
588,1.007,172.831,145.422,241.803,-17.622,13.33,162.378
589,0.877,199.835,151.992,242.609,-19.134,11.638,160.866
590,0.906,223.567,200.789,243,1.79,12.007,1.79
591,0.883,220.472,183.147,243,-5.894,11.717,174.106
592,0.827,230.375,202.357,243,-10.62,10.944,169.38
593,0.855,230.098,202.345,242.784,-9.588,11.302,170.412
594,0.973,229.78,211.744,243,-0.666,12.901,179.334
595,0.928,213.146,167.498,243,-25.313,12.279,154.687
596,1.125,217.376,158.773,243,8.416,14.906,8.416
597,0.889,215.101,178.046,243,-63.273,11.806,116.727
598,0.889,207.994,138.652,243,5.856,11.767,5.856
599,0.827,224.52,190.027,243,-93.918,10.972,86.082
600,1.119,209.27,148.838,243,1.157,14.854,1.157
601,1.176,221.901,182.687,243,3.576,15.582,3.576
602,1.564,206.287,86.399,242.386,18.696,20.808,18.696
603,1.552,218.67,173.906,243,14.945,20.655,14.945
604,0.889,181.792,115.318,243,17.745,11.797,17.745
605,0.872,215.832,180.091,242.671,-87.026,11.566,92.974
606,1.001,194.111,0,241.911,-107.819,13.25,72.181
607,1.243,207.252,143.324,242.668,-15.803,16.511,164.197
608,1.266,208.131,148.669,243,-3.831,16.836,176.169
609,0.906,215.312,171.953,242.735,-32.692,11.984,147.308
610,1.288,217.098,172.88,242.546,-58.261,17.135,121.739
611,1.327,212.529,158.455,243,31.592,17.639,31.592
612,1.153,215.561,164.752,243,-3.926,15.333,176.074
